timestamp,num_pkts,avg_ttl,median_ttl,10_percentil_ttl,25_percentil_ttl,75_percentil_ttl,90_percentil_ttl,max_ttl,min_ttl,attack,test_categorical
105,10,69.2,64,62,64,64,100,100,44,Yes,10
110,20,67.6,64,48.5,50,73,100,100,33,Yes,20
115,15,126.933333333333,64,64,64,216,224,224,44,No,15
120,16,73.5625,64,48,64,100,100,100,33,Yes,16
125,11,120.363636363636,64,64,64,224,224,224,44,No,11
130,18,66,64,40.7,64,64,100,100,22,Yes,18
135,16,112.75,64,48,64,224,224,224,40,No,16
140,17,72.8823529411765,64,47.6,64,100,100,100,33,Yes,17
145,18,131.111111111111,64,64,64,217,224,224,44,No,18
150,13,112.076923076923,64,48,64,224,224,224,33,No,13
155,14,118.857142857143,64,55.6,64,224,224,224,44,No,14
160,22,97.8636363636364,64,44.5,52.75,100,224,224,33,No,22
165,16,76.25,64,64,64,100,100,100,44,Yes,16
170,17,80.0588235294118,100,56,64,100,100,100,33,Yes,17
175,19,85.0526315789474,64,61.6,64,100,121.6,208,44,Yes,19
180,12,116.083333333333,64,46,64,224,224,224,33,No,12
185,13,71.5384615384615,64,35.2,64,100,100,100,33,Yes,13
190,13,101,64,52,64,100,224,224,44,No,13
195,16,114.25,64,58,64,224,224,224,44,No,16
200,13,135.461538461538,64,64,64,224,224,224,33,No,13
205,19,110,64,48.8,64,208,224,224,44,No,19
210,12,131.083333333333,82,64,64,224,224,224,33,No,12
5,15,73.1333333333333,64,56.8,64,100,100,100,33,Yes,15
10,17,70.4705882352941,64,47,64,100,100,100,44,Yes,17
15,13,125.923076923077,64,64,64,224,224,224,33,No,13
20,19,68.1052631578947,64,48.8,64,64,100,100,44,Yes,19
25,25,103.16,64,39.4,64,208,224,224,22,No,25
30,12,69.6666666666667,64,46,64,73,100,100,44,Yes,12
35,10,75.3,64,60.9,64,100,100,100,33,Yes,10
40,24,88.2916666666667,64,44,61,73,224,224,33,No,24
45,33,87.5151515151515,64,64,64,64,224,224,40,No,33
50,16,111.8125,64,44,64,224,224,224,33,No,16
55,14,141.714285714286,136,64,64,224,224,224,64,No,14
60,19,103.631578947368,64,44,64,162,224,224,33,No,19
65,12,144,144,64,64,224,224,224,64,No,12
70,22,69.9090909090909,64,44.5,64,91,100,100,33,Yes,22
75,8,148.5,162,64,64,224,224,224,64,No,8
80,21,99.1904761904762,64,44,64,100,224,224,33,No,21
85,15,124.866666666667,64,64,64,216,224,224,49,No,15
90,14,84.6428571428571,64,50,64,100,100,224,33,Yes,14
95,13,100.153846153846,64,35.2,64,100,224,224,33,No,13
100,28,102.714285714286,64,49,64,131,224,224,33,No,28
105,10,69.2,64,62,64,64,100,100,44,Yes,10
110,20,67.6,64,48.5,50,73,100,100,33,Yes,20
115,15,126.933333333333,64,64,64,216,224,224,44,No,15
120,16,73.5625,64,48,64,100,100,100,33,Yes,16
125,11,120.363636363636,64,64,64,224,224,224,44,No,11
130,18,66,64,40.7,64,64,100,100,22,Yes,18
135,16,112.75,64,48,64,224,224,224,40,No,16
140,17,72.8823529411765,64,47.6,64,100,100,100,33,Yes,17
145,18,131.111111111111,64,64,64,217,224,224,44,No,18
150,13,112.076923076923,64,48,64,224,224,224,33,No,13
155,14,118.857142857143,64,55.6,64,224,224,224,44,No,14
160,22,97.8636363636364,64,44.5,52.75,100,224,224,33,No,22
165,16,76.25,64,64,64,100,100,100,44,Yes,16
170,17,80.0588235294118,100,56,64,100,100,100,33,Yes,17
175,19,85.0526315789474,64,61.6,64,100,121.6,208,44,Yes,19
180,12,116.083333333333,64,46,64,224,224,224,33,No,12
185,13,71.5384615384615,64,35.2,64,100,100,100,33,Yes,13
190,13,101,64,52,64,100,224,224,44,No,13
195,16,114.25,64,58,64,224,224,224,44,No,16
200,13,135.461538461538,64,64,64,224,224,224,33,No,13
205,19,110,64,48.8,64,208,224,224,44,No,19
210,12,131.083333333333,82,64,64,224,224,224,33,No,12
5,15,73.1333333333333,64,56.8,64,100,100,100,33,Yes,15
10,17,70.4705882352941,64,47,64,100,100,100,44,Yes,17
15,13,125.923076923077,64,64,64,224,224,224,33,No,13
20,19,68.1052631578947,64,48.8,64,64,100,100,44,Yes,19
25,25,103.16,64,39.4,64,208,224,224,22,No,25
30,12,69.6666666666667,64,46,64,73,100,100,44,Yes,12
35,10,75.3,64,60.9,64,100,100,100,33,Yes,10
40,24,88.2916666666667,64,44,61,73,224,224,33,No,24
45,33,87.5151515151515,64,64,64,64,224,224,40,No,33
50,16,111.8125,64,44,64,224,224,224,33,No,16
55,14,141.714285714286,136,64,64,224,224,224,64,No,14
60,19,103.631578947368,64,44,64,162,224,224,33,No,19
65,12,144,144,64,64,224,224,224,64,No,12
70,22,69.9090909090909,64,44.5,64,91,100,100,33,Yes,22
75,8,148.5,162,64,64,224,224,224,64,No,8
80,21,99.1904761904762,64,44,64,100,224,224,33,No,21
85,15,124.866666666667,64,64,64,216,224,224,49,No,15
90,14,84.6428571428571,64,50,64,100,100,224,33,Yes,14
95,13,100.153846153846,64,35.2,64,100,224,224,33,No,13
100,28,102.714285714286,64,49,64,131,224,224,33,No,28
105,10,69.2,64,62,64,64,100,100,44,Yes,10
110,20,67.6,64,48.5,50,73,100,100,33,Yes,20
115,15,126.933333333333,64,64,64,216,224,224,44,No,15
120,16,73.5625,64,48,64,100,100,100,33,Yes,16
125,11,120.363636363636,64,64,64,224,224,224,44,No,11
130,18,66,64,40.7,64,64,100,100,22,Yes,18
135,16,112.75,64,48,64,224,224,224,40,No,16
140,17,72.8823529411765,64,47.6,64,100,100,100,33,Yes,17
145,18,131.111111111111,64,64,64,217,224,224,44,No,18
150,13,112.076923076923,64,48,64,224,224,224,33,No,13
155,14,118.857142857143,64,55.6,64,224,224,224,44,No,14
160,22,97.8636363636364,64,44.5,52.75,100,224,224,33,No,22
165,16,76.25,64,64,64,100,100,100,44,Yes,16
170,17,80.0588235294118,100,56,64,100,100,100,33,Yes,17
175,19,85.0526315789474,64,61.6,64,100,121.6,208,44,Yes,19
180,12,116.083333333333,64,46,64,224,224,224,33,No,12
185,13,71.5384615384615,64,35.2,64,100,100,100,33,Yes,13
190,13,101,64,52,64,100,224,224,44,No,13
195,16,114.25,64,58,64,224,224,224,44,No,16
200,13,135.461538461538,64,64,64,224,224,224,33,No,13
205,19,110,64,48.8,64,208,224,224,44,No,19
210,12,131.083333333333,82,64,64,224,224,224,33,No,12
5,15,73.1333333333333,64,56.8,64,100,100,100,33,Yes,15
10,17,70.4705882352941,64,47,64,100,100,100,44,Yes,17
15,13,125.923076923077,64,64,64,224,224,224,33,No,13
20,19,68.1052631578947,64,48.8,64,64,100,100,44,Yes,19
25,25,103.16,64,39.4,64,208,224,224,22,No,25
30,12,69.6666666666667,64,46,64,73,100,100,44,Yes,12
35,10,75.3,64,60.9,64,100,100,100,33,Yes,10
40,24,88.2916666666667,64,44,61,73,224,224,33,No,24
45,33,87.5151515151515,64,64,64,64,224,224,40,No,33
50,16,111.8125,64,44,64,224,224,224,33,No,16
55,14,141.714285714286,136,64,64,224,224,224,64,No,14
60,19,103.631578947368,64,44,64,162,224,224,33,No,19
65,12,144,144,64,64,224,224,224,64,No,12
70,22,69.9090909090909,64,44.5,64,91,100,100,33,Yes,22
75,8,148.5,162,64,64,224,224,224,64,No,8
80,21,99.1904761904762,64,44,64,100,224,224,33,No,21
85,15,124.866666666667,64,64,64,216,224,224,49,No,15
90,14,84.6428571428571,64,50,64,100,100,224,33,Yes,14
95,13,100.153846153846,64,35.2,64,100,224,224,33,No,13
100,28,102.714285714286,64,49,64,131,224,224,33,No,28
105,10,69.2,64,62,64,64,100,100,44,Yes,10
110,20,67.6,64,48.5,50,73,100,100,33,Yes,20
115,15,126.933333333333,64,64,64,216,224,224,44,No,15
120,16,73.5625,64,48,64,100,100,100,33,Yes,16
125,11,120.363636363636,64,64,64,224,224,224,44,No,11
130,18,66,64,40.7,64,64,100,100,22,Yes,18
135,16,112.75,64,48,64,224,224,224,40,No,16
140,17,72.8823529411765,64,47.6,64,100,100,100,33,Yes,17
145,18,131.111111111111,64,64,64,217,224,224,44,No,18
150,13,112.076923076923,64,48,64,224,224,224,33,No,13
155,14,118.857142857143,64,55.6,64,224,224,224,44,No,14
160,22,97.8636363636364,64,44.5,52.75,100,224,224,33,No,22
165,16,76.25,64,64,64,100,100,100,44,Yes,16
170,17,80.0588235294118,100,56,64,100,100,100,33,Yes,17
175,19,85.0526315789474,64,61.6,64,100,121.6,208,44,Yes,19
180,12,116.083333333333,64,46,64,224,224,224,33,No,12
185,13,71.5384615384615,64,35.2,64,100,100,100,33,Yes,13
190,13,101,64,52,64,100,224,224,44,No,13
195,16,114.25,64,58,64,224,224,224,44,No,16
200,13,135.461538461538,64,64,64,224,224,224,33,No,13
205,19,110,64,48.8,64,208,224,224,44,No,19
210,12,131.083333333333,82,64,64,224,224,224,33,No,12
5,15,73.1333333333333,64,56.8,64,100,100,100,33,Yes,15
10,17,70.4705882352941,64,47,64,100,100,100,44,Yes,17
15,13,125.923076923077,64,64,64,224,224,224,33,No,13
20,19,68.1052631578947,64,48.8,64,64,100,100,44,Yes,19
25,25,103.16,64,39.4,64,208,224,224,22,No,25
30,12,69.6666666666667,64,46,64,73,100,100,44,Yes,12
35,10,75.3,64,60.9,64,100,100,100,33,Yes,10
40,24,88.2916666666667,64,44,61,73,224,224,33,No,24
45,33,87.5151515151515,64,64,64,64,224,224,40,No,33
50,16,111.8125,64,44,64,224,224,224,33,No,16
55,14,141.714285714286,136,64,64,224,224,224,64,No,14
60,19,103.631578947368,64,44,64,162,224,224,33,No,19
65,12,144,144,64,64,224,224,224,64,No,12
70,22,69.9090909090909,64,44.5,64,91,100,100,33,Yes,22
75,8,148.5,162,64,64,224,224,224,64,No,8
80,21,99.1904761904762,64,44,64,100,224,224,33,No,21
85,15,124.866666666667,64,64,64,216,224,224,49,No,15
90,14,84.6428571428571,64,50,64,100,100,224,33,Yes,14
95,13,100.153846153846,64,35.2,64,100,224,224,33,No,13
100,28,102.714285714286,64,49,64,131,224,224,33,No,28
105,10,69.2,64,62,64,64,100,100,44,Yes,10
110,20,67.6,64,48.5,50,73,100,100,33,Yes,20
115,15,126.933333333333,64,64,64,216,224,224,44,No,15
120,16,73.5625,64,48,64,100,100,100,33,Yes,16
125,11,120.363636363636,64,64,64,224,224,224,44,No,11
130,18,66,64,40.7,64,64,100,100,22,Yes,18
135,16,112.75,64,48,64,224,224,224,40,No,16
140,17,72.8823529411765,64,47.6,64,100,100,100,33,Yes,17
145,18,131.111111111111,64,64,64,217,224,224,44,No,18
150,13,112.076923076923,64,48,64,224,224,224,33,No,13
155,14,118.857142857143,64,55.6,64,224,224,224,44,No,14
160,22,97.8636363636364,64,44.5,52.75,100,224,224,33,No,22
165,16,76.25,64,64,64,100,100,100,44,Yes,16
170,17,80.0588235294118,100,56,64,100,100,100,33,Yes,17
175,19,85.0526315789474,64,61.6,64,100,121.6,208,44,Yes,19
180,12,116.083333333333,64,46,64,224,224,224,33,No,12
185,13,71.5384615384615,64,35.2,64,100,100,100,33,Yes,13
190,13,101,64,52,64,100,224,224,44,No,13
195,16,114.25,64,58,64,224,224,224,44,No,16
200,13,135.461538461538,64,64,64,224,224,224,33,No,13
205,19,110,64,48.8,64,208,224,224,44,No,19
210,12,131.083333333333,82,64,64,224,224,224,33,No,12
5,15,73.1333333333333,64,56.8,64,100,100,100,33,Yes,15
10,17,70.4705882352941,64,47,64,100,100,100,44,Yes,17
15,13,125.923076923077,64,64,64,224,224,224,33,No,13
20,19,68.1052631578947,64,48.8,64,64,100,100,44,Yes,19
25,25,103.16,64,39.4,64,208,224,224,22,No,25
30,12,69.6666666666667,64,46,64,73,100,100,44,Yes,12
35,10,75.3,64,60.9,64,100,100,100,33,Yes,10
40,24,88.2916666666667,64,44,61,73,224,224,33,No,24
45,33,87.5151515151515,64,64,64,64,224,224,40,No,33
50,16,111.8125,64,44,64,224,224,224,33,No,16
55,14,141.714285714286,136,64,64,224,224,224,64,No,14
60,19,103.631578947368,64,44,64,162,224,224,33,No,19
65,12,144,144,64,64,224,224,224,64,No,12
70,22,69.9090909090909,64,44.5,64,91,100,100,33,Yes,22
75,8,148.5,162,64,64,224,224,224,64,No,8
80,21,99.1904761904762,64,44,64,100,224,224,33,No,21
85,15,124.866666666667,64,64,64,216,224,224,49,No,15
90,14,84.6428571428571,64,50,64,100,100,224,33,Yes,14
95,13,100.153846153846,64,35.2,64,100,224,224,33,No,13
100,28,102.714285714286,64,49,64,131,224,224,33,No,28
105,10,69.2,64,62,64,64,100,100,44,Yes,10
110,20,67.6,64,48.5,50,73,100,100,33,Yes,20
115,15,126.933333333333,64,64,64,216,224,224,44,No,15
120,16,73.5625,64,48,64,100,100,100,33,Yes,16
125,11,120.363636363636,64,64,64,224,224,224,44,No,11
130,18,66,64,40.7,64,64,100,100,22,Yes,18
135,16,112.75,64,48,64,224,224,224,40,No,16
140,17,72.8823529411765,64,47.6,64,100,100,100,33,Yes,17
145,18,131.111111111111,64,64,64,217,224,224,44,No,18
150,13,112.076923076923,64,48,64,224,224,224,33,No,13
155,14,118.857142857143,64,55.6,64,224,224,224,44,No,14
160,22,97.8636363636364,64,44.5,52.75,100,224,224,33,No,22
165,16,76.25,64,64,64,100,100,100,44,Yes,16
170,17,80.0588235294118,100,56,64,100,100,100,33,Yes,17
175,19,85.0526315789474,64,61.6,64,100,121.6,208,44,Yes,19
180,12,116.083333333333,64,46,64,224,224,224,33,No,12
185,13,71.5384615384615,64,35.2,64,100,100,100,33,Yes,13
190,13,101,64,52,64,100,224,224,44,No,13
195,16,114.25,64,58,64,224,224,224,44,No,16
200,13,135.461538461538,64,64,64,224,224,224,33,No,13
205,19,110,64,48.8,64,208,224,224,44,No,19
210,12,131.083333333333,82,64,64,224,224,224,33,No,12
